time,total_trades,wins,losses,win_rate,total_pnl
2026-06-21 20:19:57,1,0,1,0.0,-129.99
2026-06-21 20:20:01,1,0,1,0.0,-129.99
2026-06-21 20:20:04,1,0,1,0.0,-129.99
2026-06-21 20:20:07,1,0,1,0.0,-129.99
2026-06-21 20:20:11,1,0,1,0.0,-129.99
2026-06-21 20:20:14,1,0,1,0.0,-129.99
2026-06-21 20:20:17,1,0,1,0.0,-129.99
2026-06-21 20:20:21,1,0,1,0.0,-129.99
2026-06-21 20:20:24,1,0,1,0.0,-129.99
2026-06-21 20:20:27,1,0,1,0.0,-129.99
2026-06-21 20:20:31,1,0,1,0.0,-129.99
2026-06-21 20:20:34,1,0,1,0.0,-129.99
2026-06-21 20:20:37,1,0,1,0.0,-129.99
2026-06-21 20:20:41,1,0,1,0.0,-129.99
2026-06-21 20:20:44,1,0,1,0.0,-129.99
2026-06-21 20:20:47,1,0,1,0.0,-129.99
2026-06-21 20:20:51,1,0,1,0.0,-129.99
2026-06-21 20:20:54,1,0,1,0.0,-129.99
2026-06-21 20:20:57,1,0,1,0.0,-129.99
2026-06-21 20:21:01,1,0,1,0.0,-129.99
2026-06-21 20:21:04,1,0,1,0.0,-129.99
2026-06-21 20:21:07,1,0,1,0.0,-129.99
2026-06-21 20:21:11,1,0,1,0.0,-129.99
2026-06-21 20:21:14,1,0,1,0.0,-129.99
2026-06-21 20:21:17,1,0,1,0.0,-129.99
2026-06-21 20:21:21,1,0,1,0.0,-129.99
2026-06-21 20:21:24,1,0,1,0.0,-129.99
2026-06-21 20:21:27,1,0,1,0.0,-129.99
2026-06-21 20:21:31,1,0,1,0.0,-129.99
2026-06-21 20:21:34,1,0,1,0.0,-129.99
2026-06-21 20:21:37,1,0,1,0.0,-129.99
2026-06-21 20:21:41,1,0,1,0.0,-129.99
2026-06-21 20:21:44,1,0,1,0.0,-129.99
2026-06-21 20:21:47,1,0,1,0.0,-129.99
2026-06-21 20:21:51,1,0,1,0.0,-129.99
2026-06-21 20:21:54,1,0,1,0.0,-129.99
2026-06-21 20:21:57,1,0,1,0.0,-129.99
2026-06-21 20:22:01,1,0,1,0.0,-129.99
2026-06-21 20:22:04,1,0,1,0.0,-129.99
2026-06-21 20:22:07,1,0,1,0.0,-129.99
2026-06-21 20:22:11,1,0,1,0.0,-129.99
2026-06-21 20:22:14,1,0,1,0.0,-129.99
2026-06-21 20:22:17,1,0,1,0.0,-129.99
2026-06-21 20:22:21,1,0,1,0.0,-129.99
2026-06-21 20:22:24,1,0,1,0.0,-129.99
2026-06-21 20:22:27,1,0,1,0.0,-129.99
2026-06-21 20:22:31,1,0,1,0.0,-129.99
2026-06-21 20:22:34,1,0,1,0.0,-129.99
2026-06-21 20:22:37,1,0,1,0.0,-129.99
2026-06-21 20:22:41,1,0,1,0.0,-129.99
2026-06-21 20:22:44,1,0,1,0.0,-129.99
2026-06-21 20:22:47,1,0,1,0.0,-129.99
2026-06-21 20:22:51,1,0,1,0.0,-129.99
2026-06-21 20:22:54,1,0,1,0.0,-129.99
2026-06-21 20:22:57,1,0,1,0.0,-129.99
2026-06-21 20:23:00,1,0,1,0.0,-129.99
2026-06-21 20:23:04,1,0,1,0.0,-129.99
2026-06-21 20:23:07,1,0,1,0.0,-129.99
2026-06-21 20:23:10,1,0,1,0.0,-129.99
2026-06-21 20:23:14,1,0,1,0.0,-129.99
2026-06-21 20:23:17,1,0,1,0.0,-129.99
2026-06-21 20:23:20,1,0,1,0.0,-129.99
2026-06-21 20:23:24,1,0,1,0.0,-129.99
2026-06-21 20:23:27,1,0,1,0.0,-129.99
2026-06-21 20:23:30,1,0,1,0.0,-129.99
2026-06-21 20:23:34,1,0,1,0.0,-129.99
2026-06-21 20:23:37,1,0,1,0.0,-129.99
2026-06-21 20:23:40,1,0,1,0.0,-129.99
2026-06-21 20:23:44,1,0,1,0.0,-129.99
2026-06-21 20:23:47,1,0,1,0.0,-129.99
2026-06-21 20:23:50,1,0,1,0.0,-129.99
2026-06-21 20:23:54,1,0,1,0.0,-129.99
2026-06-21 20:23:57,1,0,1,0.0,-129.99
2026-06-21 20:24:00,1,0,1,0.0,-129.99
2026-06-21 20:24:04,1,0,1,0.0,-129.99
2026-06-21 20:24:07,1,0,1,0.0,-129.99
2026-06-21 20:24:10,1,0,1,0.0,-129.99
2026-06-21 20:24:14,1,0,1,0.0,-129.99
2026-06-21 20:24:17,1,0,1,0.0,-129.99
2026-06-21 20:24:20,1,0,1,0.0,-129.99
2026-06-21 20:24:24,1,0,1,0.0,-129.99
2026-06-21 20:24:27,1,0,1,0.0,-129.99
2026-06-21 20:24:30,1,0,1,0.0,-129.99
2026-06-21 20:24:34,1,0,1,0.0,-129.99
2026-06-21 20:24:37,1,0,1,0.0,-129.99
2026-06-21 20:24:40,1,0,1,0.0,-129.99
